SN,Name,Symbol,Status,Sector,Instrument,Email,Website
1,Nabil Bank Limited,NABIL,Active,Commercial Banks,Equity,company.affairs@nabilbank.com,www.nabilbank.com
2,Nepal Investment Mega Bank Limited,NIMB,Active,Commercial Banks,Equity,info@nimb.com.np,http://www.nimb.com.np
3,Standard Chartered Bank Limited,SCB,Active,Commercial Banks,Equity,Legal.Nepal@sc.com,www.sc.com/np
4,Himalayan Bank Limited,HBL,Active,Commercial Banks,Equity,legal@himalayanbank.com,https://www.himalayanbank.com
5,Nepal SBI Bank Limited,SBI,Active,Commercial Banks,Equity,cs@nsbl.com.np,https://nsbl.statebank
6,Everest Bank Limited,EBL,Active,Commercial Banks,Equity,sharedept@ebl.com.np,www.everestbankltd.com
7,NIC Asia Bank Ltd.,NICA,Active,Commercial Banks,Equity,nica.nots@nicasiabank.com,www.nicasiabank.com
8,Machhapuchhre Bank Limited,MBL,Active,Commercial Banks,Equity,machbank@mbl.com.np,http://www.machbank.com
9,Laxmi Sunrise Bank Limited,LSL,Active,Commercial Banks,Equity,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
10,Kumari Bank Limited,KBL,Active,Commercial Banks,Equity,info@kumaribank.com,http://www.kumaribank.com
11,Siddhartha Bank Limited,SBL,Active,Commercial Banks,Equity,laxman.ghimire@sbl.com.np,www.siddharthabank.com
12,Soaltee Hotel Limited,SHL,Active,Hotels And Tourism,Equity,lbkhatri@soaltee.com.np,http://www.soalteehotel.com
13,Taragaon Regency Hotel Limited,TRH,Active,Hotels And Tourism,Equity,info@taragaon.com,
14,Oriental Hotels Limited,OHL,Active,Hotels And Tourism,Equity,legal@radkat.com.np,
15,National Hydro Power Company Limited,NHPC,Active,Hydro Power,Equity,info@nhpcl.com,
16,Butwal Power Company Limited,BPCL,Active,Hydro Power,Equity,hari.budhathoki@bpc.com.np,http://www.bpc.com.np
17,Chilime Hydropower Company Limited,CHCL,Active,Hydro Power,Equity,info@chilime.com.np,www.chilime.com.np
18,Salt Trading Corporation,STC,Active,Tradings,Equity,legalstcnepal@gmail.com,www.stcnepal.com
19,Bishal Bazar Company Limited,BBC,Active,Tradings,Equity,info@bishalbazar.com.np,
20,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Active,Microfinance,Equity,rbchaudhary@nirdhan.com.np,
